display_name,fixed_phase,fold_fraction,mean_assd_mm,mean_dice,mean_displacement_mm,mean_hd95_mm,method_id,moving_phase,n_evaluable_organs,n_requested_organs,p95_displacement_mm,pair_id,runtime_seconds,sd_log_jacobian,source_server,subject_id,task_domain,task_group,valid_sampling_fraction
ConvexAdam + MIND-SSC,mr,0.022068617078993054,1.5633875930702104,0.9072376734092557,19.66118049621582,6.15238925775224,B02_convexadam_mind,ct,4,4,34.53097934722901,MR_fixed__CT_moving__0008_tcia,16.165696803014725,0.8009970784187317,server1,0008_tcia,l2r_mrct,mr_target,0.9830518934461806
ConvexAdam + MIND-SSC,mr,0.017481486002604168,2.036905576418933,0.8892812829157943,18.78253936767578,11.487345747344081,B02_convexadam_mind,ct,4,4,37.44197101593018,MR_fixed__CT_moving__0010_tcia,15.40859541296959,0.7677879333496094,server1,0010_tcia,l2r_mrct,mr_target,0.9869566175672743
ConvexAdam + MIND-SSC,mr,0.013434685601128472,2.539962666859194,0.8045799212416865,19.375879287719727,13.122790961454735,B02_convexadam_mind,ct,4,4,43.08682632446289,MR_fixed__CT_moving__0012_tcia,15.329153429716825,0.6391982436180115,server1,0012_tcia,l2r_mrct,mr_target,0.9874754163953993
ConvexAdam + MIND-SSC,mr,0.014530775282118056,10.658582083295412,0.5861086640743289,17.573383331298828,41.11151427165143,B02_convexadam_mind,ct,4,4,40.56980590820312,MR_fixed__CT_moving__0014_tcia,16.652440572157502,0.7794574499130249,server1,0014_tcia,l2r_mrct,mr_target,0.9883265177408854
ConvexAdam + MIND-SSC,mr,0.0010459052191840279,2.0238317080775503,0.883039158922399,12.710952758789062,7.067781457055728,B02_convexadam_mind,ct,4,4,25.972800159454344,MR_fixed__CT_moving__0016_tcia,15.869247370399535,0.44733527302742004,server1,0016_tcia,l2r_mrct,mr_target,0.989459737141927
FireANTs,mr,0.0,4.793086951689471,0.7349596348505457,5.506515026092529,14.808915942226335,B03_fireants,ct,3,4,12.393683862686157,MR_fixed__CT_moving__0002_tcia,17.230776108801365,0.1933622509241104,server2,0002_tcia,l2r_mrct,mr_target,0.9802374945746528
FireANTs,mr,0.0,38.99790675614687,0.10534152168626855,3.6777007579803467,75.55126488398275,B03_fireants,ct,3,4,7.860526585578917,MR_fixed__CT_moving__0004_tcia,16.921200836077332,0.17653372883796692,server2,0004_tcia,l2r_mrct,mr_target,0.9860812717013889
FireANTs,mr,0.0,8.563498984412876,0.4341405842806961,5.593800067901611,25.77366466689953,B03_fireants,ct,4,4,10.763553285598753,MR_fixed__CT_moving__0006_tcia,13.048229668289423,0.2508276402950287,server2,0006_tcia,l2r_mrct,mr_target,0.9962353176540799
FireANTs,mr,0.0,5.257720685948378,0.7199334026656432,7.1009202003479,18.92988685890082,B03_fireants,ct,4,4,14.40879259109497,MR_fixed__CT_moving__0008_tcia,12.892064053565264,0.2594700753688812,server2,0008_tcia,l2r_mrct,mr_target,0.9776087443033854
FireANTs,mr,0.0,9.47744139373195,0.5417333655942327,7.855121612548828,32.25417231910577,B03_fireants,ct,4,4,19.447054576873775,MR_fixed__CT_moving__0010_tcia,14.270197492092848,0.2412203848361969,server2,0010_tcia,l2r_mrct,mr_target,0.987603759765625
FireANTs,mr,0.0,14.743841002040984,0.3051916399958647,7.255830764770508,40.45347830981981,B03_fireants,ct,4,4,14.969290876388548,MR_fixed__CT_moving__0012_tcia,14.304510775953531,0.23935243487358093,server2,0012_tcia,l2r_mrct,mr_target,0.9695826212565104
FireANTs,mr,0.0,27.477863008036962,0.15969652549463725,5.955618858337402,69.68337683748851,B03_fireants,ct,4,4,13.256335401535033,MR_fixed__CT_moving__0014_tcia,13.289449241012335,0.2421117126941681,server2,0014_tcia,l2r_mrct,mr_target,0.9857966105143229
FireANTs,mr,0.0,4.042063690726955,0.7752481266268265,6.848939418792725,15.740143691756735,B03_fireants,ct,4,4,15.32186131477356,MR_fixed__CT_moving__0016_tcia,14.002023542299867,0.23513004183769226,server2,0016_tcia,l2r_mrct,mr_target,0.9790737575954861
DINO-Reg,mr,0.020086669921875,3.624515166489012,0.815839931991381,13.546036720275879,19.612739548654798,B04_dino_reg,ct,3,4,33.811974716186505,MR_fixed__CT_moving__0002_tcia,383.4632270820439,0.8340637683868408,server1,0002_tcia,l2r_mrct,mr_target,0.9867031521267361
DINO-Reg,mr,0.03891398111979167,17.596915269297885,0.4186449863905757,21.480361938476562,52.60736472885882,B04_dino_reg,ct,3,4,53.05151767730713,MR_fixed__CT_moving__0004_tcia,408.2502951901406,0.9917818307876587,server1,0004_tcia,l2r_mrct,mr_target,0.985936991373698
DINO-Reg,mr,0.0873446994357639,3.6006199577057187,0.7606890783305039,20.602441787719727,14.910022041158365,B04_dino_reg,ct,4,4,39.82107753753661,MR_fixed__CT_moving__0006_tcia,483.8128991429694,1.3313801288604736,server1,0006_tcia,l2r_mrct,mr_target,0.9989944458007812
DINO-Reg,mr,0.0422027587890625,1.8942482446608904,0.8882508785264475,19.55336570739746,6.621320343559642,B04_dino_reg,ct,4,4,38.65449657440185,MR_fixed__CT_moving__0008_tcia,498.0756372171454,1.010111927986145,server1,0008_tcia,l2r_mrct,mr_target,0.9958630032009549
DINO-Reg,mr,0.02554779052734375,4.204760182214334,0.8190302675496612,18.776899337768555,24.726686462761744,B04_dino_reg,ct,4,4,41.62299365997315,MR_fixed__CT_moving__0010_tcia,460.2874094690196,0.8059874773025513,server1,0010_tcia,l2r_mrct,mr_target,0.9444288465711805
DINO-Reg,mr,0.030146959092881946,2.84808081892953,0.8243317378692506,14.187345504760742,16.900973327475228,B04_dino_reg,ct,4,4,41.05250606536865,MR_fixed__CT_moving__0012_tcia,376.1382346493192,0.8754119873046875,server1,0012_tcia,l2r_mrct,mr_target,0.940260484483507
DINO-Reg,mr,0.07849968804253472,8.006416678705358,0.7328618446058557,27.470008850097656,53.55218102176603,B04_dino_reg,ct,4,4,59.4488109588623,MR_fixed__CT_moving__0014_tcia,442.283182810992,1.1695127487182617,server1,0014_tcia,l2r_mrct,mr_target,0.9937455919053819
DINO-Reg,mr,0.005976698133680555,1.8944421381309884,0.8805359859133136,11.197566986083984,6.2976207903086205,B04_dino_reg,ct,4,4,26.384091758728022,MR_fixed__CT_moving__0016_tcia,404.7659386387095,0.6352534890174866,server1,0016_tcia,l2r_mrct,mr_target,0.9839199490017361
MASR/DNS + IO,mr,0.003276570638020833,7.111382235447629,0.5902883368851709,2.820347785949707,20.107008430889962,B05_masr_dns_io,ct,3,4,5.079652333259583,MR_fixed__CT_moving__0002_tcia,13.977439183276147,0.662593424320221,server1,0002_tcia,l2r_mrct,mr_target,0.9742387559678819
MASR/DNS + IO,mr,0.003564114040798611,39.38722916489425,0.10718042065249461,2.84765625,74.25289696341406,B05_masr_dns_io,ct,3,4,4.984314441680908,MR_fixed__CT_moving__0004_tcia,10.932504508644342,0.6805421113967896,server1,0004_tcia,l2r_mrct,mr_target,0.9740200466579861
MASR/DNS + IO,mr,0.003325229220920139,8.225431092842086,0.48049077479462343,2.664401054382324,24.574667481034766,B05_masr_dns_io,ct,4,4,4.877907299995423,MR_fixed__CT_moving__0006_tcia,10.827513492200524,0.5919978022575378,server1,0006_tcia,l2r_mrct,mr_target,0.9827694363064237
MASR/DNS + IO,mr,0.004338243272569445,7.980063330058162,0.5642960011198227,2.806584596633911,22.50964254835275,B05_masr_dns_io,ct,4,4,5.07511568069458,MR_fixed__CT_moving__0008_tcia,12.079042251221836,0.6059993505477905,server1,0008_tcia,l2r_mrct,mr_target,0.9788316514756944
MASR/DNS + IO,mr,0.002874077690972222,13.595067663999053,0.37812912552728284,2.78421950340271,38.931690760556464,B05_masr_dns_io,ct,4,4,5.108445644378662,MR_fixed__CT_moving__0010_tcia,10.986439771018922,0.6132007241249084,server1,0010_tcia,l2r_mrct,mr_target,0.9786912706163194
MASR/DNS + IO,mr,0.004147169325086806,16.166859812272666,0.23702204744721178,2.9102580547332764,44.76909851184629,B05_masr_dns_io,ct,4,4,5.106454396247864,MR_fixed__CT_moving__0012_tcia,11.829213588032871,0.6916198134422302,server1,0012_tcia,l2r_mrct,mr_target,0.976582505967882
MASR/DNS + IO,mr,0.005365668402777778,25.02679228039998,0.19379993397142703,2.9058096408843994,67.19739444227663,B05_masr_dns_io,ct,4,4,5.075943970680237,MR_fixed__CT_moving__0014_tcia,10.918843479361385,0.6445913910865784,server1,0014_tcia,l2r_mrct,mr_target,0.9791241115993924
MASR/DNS + IO,mr,0.004332139756944444,7.887580798045403,0.5217321076088597,3.00590443611145,22.269227167088747,B05_masr_dns_io,ct,4,4,5.291286468505859,MR_fixed__CT_moving__0016_tcia,11.060145074035972,0.6084060668945312,server1,0016_tcia,l2r_mrct,mr_target,0.9801466200086806
